Name	Price (gp)	Rarity
Vicious Weapon	350	rare
Adamantine Armor	500	uncommon
Mithral Armor	800	uncommon
+1 Weapon	1000	uncommon
Sword of Life-Stealing	1000	rare
Ioun Stone Protection	1200	rare
Wand of the War Mage +1	1200	uncommon
Bracers of Archery	1500	uncommon
Circlet of Blasting	1500	uncommon
Javelin of Lightning	1500	uncommon
Prayer Bead - Smiting	1500	rare
Wind Fan	1500	uncommon
Sword of Sharpness	1700	rare
Staff of the Adder	1800	uncommon
Dancing Sword	2000	very rare
Glamoured Studded Leather	2000	rare
Pipes of the Sewers	2000	uncommon
Prayer Bead - Bless	2000	rare
Saddle of theCavalier	2000	uncommon
Sword of Wounding	2000	rare
Frost Brand	2200	very rare
Dagger of Venom	2500	rare
Gloves of Missile Snaring	3000	uncommon
Ioun Stone Agility	3000	very rare
Ioun Stone Fortitude	3000	very rare
Ioun Stone Insight	3000	very rare
Ioun Stone Intellect	3000	very rare
Ioun Stone Leadership	3000	very rare
Ioun Stone Strength	3000	very rare
Staff of Withering	3000	rare
Cloak of Protection	3500	uncommon
Oathbow	3500	very rare
Ring of Protection	3500	rare
+2 Weapon	4000	rare
Boots of Speed	4000	rare
Dragon Scale Mail	4000	very rare
Elven Chain	4000	rare
Ioun Stone Regeneration	4000	legendary
Iron Bands of Bilarro	4000	rare
Prayer Bead - Curing	4000	rare
Rope of Entanglement	4000	rare
Wand of Enemy Detection	4000	rare
Luckstone	4200	uncommon
Wand of the WarMage +2	4800	rare
Flame Tongue	5000	rare
Periapt of Wound Closure	5000	uncommon
Ring of Evasion	5000	rare
Ring of the Ram	5000	rare
Tentacle Rod	5000	rare
Animated Shield	6000	very rare
Armor of Resistance	6000	rare
Arrow-Catching Shield 	6000	rare
Belt of Dwarvenkind	6000	rare
Bracers of Defense	6000	rare
Ioun Stone Reserve	6000	rare
Pearl of Power	6000	uncommon
Pipes of Haunting	6000	uncommon
Ring of Resistance	6000	rare
Robe of Scintillating Colors	6000	very rare
Scimitar of Speed	6000	very rare
Shield of Missile Attraction	6000	rare
Giant Slayer	7000	rare
Mace of Smiting	7000	rare
Brooch of Shielding	7500	uncommon
Amulet of Health	8000	rare
Dragon Slayer	8000	rare
Gauntlets of Ogre Power	8000	uncommon
Headband of Intellect	8000	uncommon
Mace of Disruption	8000	rare
Mace of Terror	8000	rare
Nine Lives Stealer (Fully Charged)	8000	very rare
Wand of Magic Missiles	8000	uncommon
Wand of Web	8000	uncommon
Staff of Thunder and Lightning	10000	very rare
Wand of Binding	10000	rare
Wand of Fear	10000	rare
Ioun Stone Awareness	12000	rare
Rod of the Pact Keeper +1	12000	rare
Staff of Charming	12000	rare
Sunblade	12000	rare
Staff of Healing	13000	rare
Ring of Shooting Stars	14000	very rare
Ioun Stone Mastery	15000	legendary
+3 Weapon	16000	very rare
Hammer of Thunderbolts	16000	legendary
Rod of the Pact Keeper +2	16000	rare
Staff of Fire	16000	very rare
Staff of Swarming Insects	16000	rare
Wand of Paralysis	16000	rare
Ring of Fire Elemental Command	17000	legendary
Dwarven Thrower	18000	very rare
Wand of the War Mage +3	19200	very rare
Efreeti Chain	20000	legendary
Ring of Free Action	20000	rare
Sentinel Shield	20000	uncommon
Staff of Striking	21000	very rare
Ring of Spell Storing	24000	rare
Vorpal Sword	24000	legendary
Ring of Water Elemental Command	25000	legendary
Rod of Alertness	25000	very rare
Staff of Frost	26000	very rare
Instrument of the Bards - FochulanBandlore	26500	uncommon
Instrument of the Bards - Mac-FuirmidhCittern	27000	uncommon
Rod of Lordly Might	28000	legendary
Rod of the Pact Keeper +3	28000	very rare
Instrument of theBards - Doss Lute	28500	uncommon
Instrument of theBards - CanaithMandolin	30000	rare
Mantle of Spell Resistance	30000	rare
Ring of Spell Turning	30000	legendary
Prayer Bead - Favor	32000	rare
Wand of Fireballs	32000	rare
Wand of Lightning Bolts	32000	rare
Wand of Polymorph	32000	very rare
Instrument of the Bards - Cli Lyre	35000	rare
Scarab of Protection	36000	legendary
Sword of Answering	36000	legendary
Staff of the Woodlands	44000	rare
Spellguard Shield	50000	very rare
Cloak of Displacement	60000	rare
Robe of Stars	60000	very rare
Weapon of Warning	60000	uncommon
Prayer Bead - Wind Walking	96000	rare
Instrument of the Bards - Anstruth Harp	109000	very rare
Instrument of the Bards - Ollamh Harp	125000	legendary
Prayer Bead - Summons	128000	rare
Holy Avenger	165000	legendary